Borough,Market Name,Address,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Open Year-Round
Brooklyn,Teens for Food Justice Fresh Food Box & Farmstand at Brownsville Collaborative Middle School,85 Watkins Street Brooklyn,40.670986,-73.908194,Tuesday,4-6pm,Year-round,Yes
Manhattan,Morningside Park's Down to Earth Farmers' Market,W 110th St & Manhattan Ave Manhattan,40.801155,-73.959647,Saturday,9am-4pm (winter closes at 3pm),Year-Round,Yes
Bronx,170 Farm Stand,E 170th St & Townsend Ave Bronx,40.839882,-73.916783,Wednesday,2:30pm-6:30pm,8/12/20-11/25/20,No
Manhattan,Fulton Stall Market,Pier 17 Square Manhattan,40.705799,-74.002572,Sunday,11am-5pm,04/26/2020-11/22/2020,No
Queens,Corona Greenmarket,Roosevelt Ave & 103rd St Queens,40.749811,-73.861668,Friday,8am - 3pm,6/19 to 11/27,No
Bronx,Eastchester Farmstand,E 229th Street and Schieffelin Avenue Bronx,40.88503,-73.843146,Thursday,9:30am-3pm,07/16-11/19,No
Queens,Far Rockaway Farmstand,385 Beach 45th St Queens,40.595612,-73.776551,Saturday,10am-2pm,07/11/2020-11/21/2020,No
Bronx,Harvest Home Mt. Eden Farmers' Market,Mt Eden & Morris Aves Bronx,40.842924,-73.909558,Tuesday Thursday,8am-4pm,6/9/2020-11/24/2020,No
Brooklyn,McCarren Park Greenmarket,Union Ave bet Driggs and N 12th Sts Brooklyn,40.719219,-73.952479,Saturday,8am - 2pm,Year-Round,Yes
Brooklyn,Edible Schoolyard NYC's Farm Stand at PS 216,E 1st St & Avenue X Brooklyn,40.590649,-73.969298,Friday,1:45pm-2:45pm,Tentative,No
Bronx,St. Barnabas Hospital Farm Stand & C.S.A.,4422 3rd Ave. Bronx,40.853237,-73.891742,Wednesday,10 a.m. - 5 p.m.,09/01/2020-11/20/2020,No
Brooklyn,Carroll Gardens Greenmarket,Carroll St bet Smith & Court Sts Brooklyn,40.68106,-73.996528,Sunday,8am - 2pm,Year-Round,Yes
Bronx,Teens for Food Justice Fresh Food Box & Farmstand at Dewitt Clinton Educational Campus,100 West Mosholu Parkway South Bronx,40.882178,-73.88691,Thursday,4-6pm,Year-round,Yes
Brooklyn,Isabahlia Farm Stand,514 Rockaway Ave Brooklyn,40.667554,-73.910207,Friday & Saturday,"(F) 9am - 4pm
(S) 9am-3pm",06/29/2020-10/31/2020,No
Bronx,La Familia Verde Farmers' Market,E Tremont Ave bet LaFontaine & Arthur Aves Bronx,40.846487,-73.894337,Tuesday,8am-2pm,07/07/2020-11/17/2020,No
Manhattan,Tompkins Square Greenmarket,E. 7th St. & Avenue A Manhattan,40.726054,-73.983534,Sunday,9am - 5pm,Year-Round,Yes
Queens,Jackson Heights Greenmarket,34th Ave bet 79th & 80th Sts Queens,40.753435,-73.887822,Sunday,8am - 2pm,Year-Round,Yes
Bronx,Norwood Farmstand,E Gun Hill Rd & Dekalb Ave Bronx,40.88222,-73.880458,Thursday,10am-5pm,Year-Round,Yes
Brooklyn,Grand Army Plaza Greenmarket,"Flatbush Ave. & Prospect Park W., at Prospect Park’s NW Entrance Brooklyn",40.663812,-73.962866,Saturday,8am-4pm,Year-Round,Yes
Manhattan,Hamilton Heights Green Youthmarket,"Amsterdam bet W 143rd & 144th Sts., at Johnny Hartman Plaza Manhattan",40.82394,-73.948552,Wednesday,11am-6pm,06/24/2020-11/25/2020,No
Brooklyn,McGolrick Park's Down to Earth Farmers's Market,Russell St. & Nassau Ave. (center of park) Brooklyn,40.725617,-73.944497,Sunday,10am - 3pm,3/01/2020-12/20/20,No
Manhattan,175th Street Greenmarket,W 175th St bet Wadsworth Ave & Broadway Manhattan,40.845948,-73.937811,Thursday,8am - 4pm,6/25 to 11/19,No
Brooklyn,6th Ave Sunset Park Greenmarket,44th St & 6th Ave Brooklyn,40.647132,-74.004623,Saturday,8am-3pm,Year-round,Yes
Manhattan,Rockefeller Center Greenmarket,Rockefeller Plaza bet W 49th & 50th Sts (Jul-Aug only) Manhattan,40.759065,-73.97845,Wednesday Thursday Friday,8am - 5pm,7/15 to 8/21; 9/30 to 10/23,No
Queens,Flushing Greenmarket,"Kissena Blvd. & Maple Ave., at Maple Playground Queens",40.756357,-73.825773,Wednesday,8am - 3pm,7/8 to 11/25,No
Manhattan,Columbia University Greenmarket,Broadway & W 114th St Manhattan,40.806707,-73.964849,Thursday Sunday,8am-4pm,Year-Round (Closed 07/04/19 & 11/28/19- open 11/26/19),Yes
Brooklyn,RB Bushwick Farmers' Market at Maria Hernandez Park,Knickerbocker Ave & Starr St Brooklyn,40.702811,-73.92539,Saturday,9am-4pm,6/20/2020 - November unclear date,No
Queens,Socrates Sculpture Garden,31-30 Vernon Boulevard Queens,40.768504,-73.921724,Saturday,10am-2pm,05/02/2020-10/31/2020,No
Manhattan,Go!Healthy Farm Stand at Mirabal Sisters Campus,21 Jumel Pl. Manhattan,40.839305,-73.936159,Friday,11am-2pm,07/07/2020-11/20/20,No
Queens,Sunnyside Greenmarket,Skillman Ave bet 42nd & 43rd Sts Queens,40.746999,-73.921724,Saturday,8am - 2pm,Year-Round,Yes
Queens,Cunningham Park's Down to Earth Farmers' Market,Union Tpk & 196 Pl Queens,40.731082,-73.773997,Sunday,9am-2pm,05/10/2020-11/22/2020,No
Bronx,Bissel Gardens Farmers Market,Baychester Ave & E 241st St Bronx,40.90152,-73.846937,Saturday,10am-5pm,8/1/20-11/21/20,No
Manhattan,79th Street Greenmarket,Columbus Ave bet W 78th & 81st Sts Manhattan,40.781274,-73.975995,Sunday,9am - 5pm,Year-Round,Yes
Bronx,Fordham Plaza Greenmarket,Park Ave bet E 189th St & E Fordham Rd Bronx,40.86153,-73.891063,Friday,8am-4pm,7/10 to 11/20,No
Brooklyn,Red Hook Farm Stand,560 Columbia St Brooklyn,40.672524,-74.00871,Saturday,10am-3pm,06/20/2020-11/21/2020,No
Queens,Ditmars Park Farmstand,"Steinway St bet Ditmars Blvd & 23rd Ave., at Ditmars Park Queens",40.772854,-73.906061,Saturday,9:30am-2pm,07/11/20-11/21/20 (estimate),No
Manhattan,Dag Hammarskjold Plaza Greenmarket,E 47th St & 2nd Ave Manhattan,40.752999,-73.969887,Wednesday,8am-4pm,Year-Round (Closed 09/26/19 & 11/25/19),Yes
Manhattan,Mount Sinai Hospital Greenmarket,E 99th St bet Madison & Park Aves Manhattan,40.789169,-73.952743,Wednesday,8am-5pm,6/10 to 11/25,No
Brooklyn,4th Ave Sunset Park Greenmarket,4th Ave bet 59th & 60th Sts Brooklyn,40.641435,-74.017815,Saturday,8am - 3pm,7/11 to 11/21,No
Brooklyn,Cortelyou Greenmarket,Cortelyou & Rugby Rds Brooklyn,40.640825,-73.965301,Sunday,8am - 3pm,Year-Round,Yes
Brooklyn,Urban Oasis Farmers' Market,681 Clarkson Ave. Brooklyn,40.656255,-73.936608,Wednesday,2pm-5:30pm,06/24/2020-11/04/2020,No
Bronx,Parkchester Greenmarket,Westchester Ave & White Plains Rd Bronx,40.833992,-73.862148,Friday,8am - 4pm,6/12 to 11/27,No
Queens,The Laurelton Farmers Market,"241st and 144st Road, Laurelton NY Queens",40.668918,-73.751335,Saturday-Sunday,10am-2pm,8/15/2020-10/31/20,No
Brooklyn,Borough Park Greenmarket,14th Ave bet 49th & 50th Sts Brooklyn,40.633696,-73.989916,Thursday,8am - 3pm,7/2 to 10/08,No
Manhattan,Greenmarket at Oculus Plaza,"Church & Fulton Sts., on Oculus Plaza Manhattan",40.711535,-74.010464,Tuesday,7am-7pm,Year-Round (Temporarily Closed due to COVID),Yes
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Brownsville,213 Osborn Street Brooklyn,40.667377,-73.908214,Friday,2pm-4:30pm,6/12/20-9/30/20,No
Manhattan,Harvest Home Metropolitan Farmers' Market,E 99th St & 3rd Ave Manhattan,40.78712,-73.947923,Friday,8am-4pm,6/17/2020-11/20/2020,No
Bronx,Harvest Home Jacobi Hospital Farmers' Market,"1400 Pelham Pkwy S, at Eastchester Rd Bronx",40.857427,-73.847079,Friday,8am-4pm,7/10/2020-11/19/2020,No
Brooklyn,Isabahlia Farm Stand Winter Market,"93 New Lots Ave., inside greenhouse Brooklyn",40.657984,-73.901764,Saturday,8am-1pm,11/07/2020-12/19/2020,No
Manhattan,Stuyvesant Town Greenmarket,"E. 14th. St. Loop & Avenue A, in the Oval Manhattan",40.730443,-73.980339,Sunday,9:30am - 4pm,5/17 to 12/20,No
Queens,Guy R Brewer Boulevard Farmers Market at NYC Health + Hospitals/Queens,114-02 Guy R Brewer Blvd Queens,40.688615,-73.785593,Tuesday,8am-4pm,TBD,No
Manhattan,97th Street Greenmarket,W 97th St bet Columbus & Amsterdam Aves Manhattan,40.793558,-73.967016,Friday,8am - 2pm,Year-Round,Yes
Manhattan,Harvest Home Lenox Ave Farm Stand,Lenox Ave bet W 117th & 118th Sts Manhattan,40.802699,-73.949186,Saturday,8am-4pm,6/27/2020-11/21/2020,No
Bronx,Kingsbridge-Riverdale Farmers' Market,260 W 231st St Bronx,40.880038,-73.907005,Sunday,9am-5pm,July,No
Queens,Queens County Farm Museum Farm Stand at Jamaica Hospital,134-20 Jamaica Ave. Queens,40.702445,-73.816861,Friday,10am-3pm,7/15/2020-11/23/2020,No
Brooklyn,East New York Farmers' Market,Schenck Ave bet New Lots & Livonia Aves Brooklyn,40.665296,-73.886557,Saturday,9am-3pm,06/27/2020-11/14/2020,No
